filename,filepath,x,y,split
train_00000.png,data/raw/images/train/train_00000.png,38,28,train
train_00001.png,data/raw/images/train/train_00001.png,14,42,train
train_00002.png,data/raw/images/train/train_00002.png,7,20,train
train_00003.png,data/raw/images/train/train_00003.png,38,18,train
train_00004.png,data/raw/images/train/train_00004.png,22,10,train
train_00005.png,data/raw/images/train/train_00005.png,10,23,train
train_00006.png,data/raw/images/train/train_00006.png,35,39,train
train_00007.png,data/raw/images/train/train_00007.png,23,2,train
train_00008.png,data/raw/images/train/train_00008.png,21,1,train
train_00009.png,data/raw/images/train/train_00009.png,23,43,train
train_00010.png,data/raw/images/train/train_00010.png,29,37,train
train_00011.png,data/raw/images/train/train_00011.png,1,20,train
train_00012.png,data/raw/images/train/train_00012.png,32,11,train
train_00013.png,data/raw/images/train/train_00013.png,21,43,train
train_00014.png,data/raw/images/train/train_00014.png,24,48,train
train_00015.png,data/raw/images/train/train_00015.png,26,41,train
train_00016.png,data/raw/images/train/train_00016.png,27,15,train
train_00017.png,data/raw/images/train/train_00017.png,14,46,train
train_00018.png,data/raw/images/train/train_00018.png,43,2,train
train_00019.png,data/raw/images/train/train_00019.png,36,6,train
train_00020.png,data/raw/images/train/train_00020.png,20,8,train
train_00021.png,data/raw/images/train/train_00021.png,38,17,train
train_00022.png,data/raw/images/train/train_00022.png,3,24,train
train_00023.png,data/raw/images/train/train_00023.png,13,49,train
train_00024.png,data/raw/images/train/train_00024.png,8,25,train
train_00025.png,data/raw/images/train/train_00025.png,1,19,train
train_00026.png,data/raw/images/train/train_00026.png,27,46,train
train_00027.png,data/raw/images/train/train_00027.png,6,43,train
train_00028.png,data/raw/images/train/train_00028.png,7,46,train
train_00029.png,data/raw/images/train/train_00029.png,34,13,train
train_00030.png,data/raw/images/train/train_00030.png,16,35,train
train_00031.png,data/raw/images/train/train_00031.png,49,39,train
train_00032.png,data/raw/images/train/train_00032.png,3,1,train
train_00033.png,data/raw/images/train/train_00033.png,5,41,train
train_00034.png,data/raw/images/train/train_00034.png,3,28,train
train_00035.png,data/raw/images/train/train_00035.png,17,25,train
train_00036.png,data/raw/images/train/train_00036.png,43,33,train
train_00037.png,data/raw/images/train/train_00037.png,9,35,train
train_00038.png,data/raw/images/train/train_00038.png,13,30,train
train_00039.png,data/raw/images/train/train_00039.png,47,14,train
train_00040.png,data/raw/images/train/train_00040.png,7,13,train
train_00041.png,data/raw/images/train/train_00041.png,22,39,train
train_00042.png,data/raw/images/train/train_00042.png,20,15,train
train_00043.png,data/raw/images/train/train_00043.png,44,17,train
train_00044.png,data/raw/images/train/train_00044.png,46,23,train
train_00045.png,data/raw/images/train/train_00045.png,25,24,train
train_00046.png,data/raw/images/train/train_00046.png,44,40,train
train_00047.png,data/raw/images/train/train_00047.png,28,14,train
train_00048.png,data/raw/images/train/train_00048.png,44,0,train
train_00049.png,data/raw/images/train/train_00049.png,24,6,train
train_00050.png,data/raw/images/train/train_00050.png,8,23,train
train_00051.png,data/raw/images/train/train_00051.png,0,43,train
train_00052.png,data/raw/images/train/train_00052.png,7,23,train
train_00053.png,data/raw/images/train/train_00053.png,10,16,train
